NASA Surface meteorology and Solar Energy: Global Data
Monthly Averaged Insolation Clearness Index (0 to 1.0)

Monthly average for July 1983 - June 1993

Lat Lon Jan Feb Mar Apr May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
1 30 0.54 0.52 0.49 0.47 0.48 0.50 0.49 0.47 0.48 0.47 0.49 0.52
1 31 0.53 0.51 0.50 0.47 0.48 0.51 0.51 0.49 0.50 0.47 0.50 0.53
1 32 0.54 0.53 0.51 0.48 0.50 0.53 0.52 0.51 0.52 0.50 0.53 0.54
1 33 0.55 0.54 0.53 0.49 0.51 0.55 0.54 0.54 0.55 0.54 0.55 0.55
1 34 0.57 0.57 0.55 0.52 0.54 0.57 0.55 0.56 0.57 0.57 0.56 0.57
1 35 0.61 0.60 0.58 0.55 0.57 0.59 0.56 0.57 0.59 0.60 0.58 0.58
1 36 0.63 0.62 0.59 0.58 0.59 0.60 0.57 0.58 0.61 0.62 0.58 0.59
1 37 0.62 0.62 0.58 0.58 0.60 0.59 0.56 0.57 0.60 0.61 0.57 0.58
1 38 0.61 0.62 0.57 0.58 0.60 0.58 0.56 0.57 0.60 0.60 0.55 0.57
1 39 0.62 0.62 0.58 0.59 0.59 0.56 0.54 0.55 0.58 0.59 0.55 0.57
1 40 0.63 0.63 0.59 0.59 0.57 0.54 0.51 0.52 0.56 0.57 0.55 0.58
1 41 0.64 0.64 0.59 0.59 0.56 0.52 0.49 0.50 0.55 0.56 0.56 0.59
1 42 0.64 0.64 0.60 0.59 0.56 0.53 0.50 0.51 0.55 0.56 0.57 0.60
1 43 0.64 0.65 0.61 0.58 0.57 0.54 0.51 0.52 0.56 0.57 0.58 0.61
1 44 0.65 0.67 0.64 0.60 0.59 0.56 0.54 0.56 0.59 0.60 0.61 0.62
1 45 0.66 0.68 0.66 0.63 0.62 0.59 0.58 0.59 0.63 0.64 0.64 0.63
1 46 0.67 0.69 0.68 0.65 0.64 0.62 0.61 0.62 0.66 0.67 0.67 0.64
1 47 0.66 0.69 0.68 0.66 0.65 0.62 0.62 0.63 0.67 0.68 0.67 0.64
1 48 0.66 0.69 0.69 0.66 0.65 0.63 0.62 0.63 0.68 0.69 0.67 0.64
1 49 0.65 0.68 0.69 0.67 0.64 0.63 0.62 0.63 0.67 0.70 0.67 0.63
1 50 0.64 0.68 0.68 0.67 0.63 0.62 0.61 0.62 0.67 0.70 0.67 0.63
1 51 0.63 0.67 0.68 0.67 0.62 0.62 0.61 0.62 0.67 0.70 0.66 0.62
1 52 0.63 0.66 0.68 0.67 0.61 0.60 0.60 0.60 0.66 0.69 0.66 0.62
1 53 0.62 0.66 0.68 0.67 0.60 0.60 0.59 0.59 0.66 0.69 0.66 0.62
1 54 0.62 0.65 0.67 0.66 0.59 0.58 0.58 0.58 0.65 0.68 0.65 0.62
1 55 0.61 0.65 0.67 0.66 0.58 0.57 0.56 0.56 0.65 0.67 0.65 0.62
1 56 0.60 0.65 0.66 0.66 0.58 0.56 0.55 0.55 0.64 0.67 0.64 0.61
1 57 0.60 0.65 0.66 0.66 0.57 0.55 0.54 0.54 0.64 0.66 0.64 0.61
1 58 0.59 0.64 0.65 0.65 0.57 0.55 0.53 0.53 0.63 0.65 0.63 0.60
1 59 0.59 0.63 0.65 0.65 0.57 0.54 0.53 0.52 0.63 0.64 0.63 0.60
1 60 0.58 0.63 0.65 0.64 0.57 0.53 0.53 0.51 0.63 0.63 0.63 0.59
1 61 0.58 0.62 0.65 0.63 0.57 0.53 0.53 0.51 0.62 0.62 0.63 0.59
1 62 0.58 0.62 0.64 0.63 0.57 0.54 0.53 0.51 0.61 0.61 0.62 0.59
1 63 0.58 0.62 0.64 0.62 0.57 0.54 0.53 0.51 0.61 0.60 0.62 0.58
1 64 0.58 0.62 0.63 0.62 0.56 0.55 0.53 0.51 0.60 0.58 0.61 0.58
1 65 0.57 0.63 0.62 0.61 0.55 0.55 0.53 0.51 0.58 0.57 0.60 0.57
1 66 0.57 0.63 0.62 0.61 0.54 0.55 0.53 0.50 0.57 0.56 0.60 0.56
1 67 0.57 0.63 0.62 0.60 0.54 0.55 0.53 0.50 0.56 0.55 0.59 0.55
1 68 0.57 0.63 0.62 0.60 0.54 0.56 0.54 0.50 0.55 0.55 0.58 0.54
1 69 0.56 0.63 0.62 0.59 0.54 0.56 0.54 0.51 0.54 0.54 0.58 0.53
1 70 0.56 0.62 0.62 0.58 0.54 0.56 0.54 0.50 0.53 0.53 0.58 0.52
1 71 0.56 0.62 0.61 0.58 0.54 0.56 0.54 0.50 0.52 0.53 0.57 0.51
1 72 0.55 0.61 0.61 0.57 0.54 0.56 0.54 0.50 0.51 0.52 0.57 0.51
1 73 0.54 0.61 0.60 0.56 0.54 0.55 0.54 0.50 0.50 0.52 0.56 0.50
1 74 0.53 0.60 0.59 0.56 0.54 0.55 0.54 0.50 0.49 0.52 0.57 0.51
1 75 0.53 0.60 0.59 0.56 0.54 0.55 0.54 0.50 0.49 0.52 0.57 0.52
1 76 0.53 0.60 0.58 0.55 0.54 0.55 0.54 0.50 0.48 0.52 0.57 0.53
1 77 0.52 0.60 0.58 0.55 0.54 0.55 0.53 0.50 0.49 0.53 0.57 0.53
